fiscal_year,contracting_agency_name,sum
FY2016Q1,BUREAU OF OCEAN ENERGY MANAGEMENT,4754287.949999999
FY2016Q1,BUREAU OF THE FISCAL SERVICE,0.0
FY2016Q1,BUSINESS TRANSFORMATION AGENCY,7742.57
FY2016Q1,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),396065662.04999995
FY2016Q1,DEFENSE COMMISSARY AGENCY  (DECA),40304932.09000001
FY2016Q1,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),47892489.41999996
FY2016Q1,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,1977117.9
FY2016Q1,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),49624689.03000001
FY2016Q1,DEFENSE HEALTH AGENCY (DHA),2994150118.16
FY2016Q1,DEFENSE HUMAN RESOURCES ACTIVITY,14736075.3
FY2016Q1,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),1336198656.3299994
FY2016Q1,DEFENSE LOGISTICS AGENCY,23161552515.309597
FY2016Q1,DEFENSE MEDIA ACTIVITY (DMA),7225385.289999999
FY2016Q1,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),60062488.88999999
FY2016Q1,DEFENSE SECURITY COOPERATION AGENCY,28215516.15
FY2016Q1,DEFENSE THREAT REDUCTION AGENCY (DTRA),143046031.91
FY2016Q1,DEPARTMENTAL OFFICES,38467969.09
FY2016Q1,DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),47277669.88999999
FY2016Q1,DEPT OF THE AIR FORCE,24169194026.969994
FY2016Q1,DEPT OF THE ARMY,30933558138.869934
FY2016Q1,DEPT OF THE NAVY,37148916742.540016
FY2016Q1,"ENERGY, DEPARTMENT OF",598061441.1500001
FY2016Q1,FEDERAL ACQUISITION SERVICE,378465727.19000053
FY2016Q1,FEDERAL PRISON SYSTEM,2972859.24
FY2016Q1,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,300000.0
FY2016Q1,IMMEDIATE OFFICE OF THE SECRETARY OF DEFENSE,8745000.0
FY2016Q1,JOINT IMPROVISED EXPLOSIVE DEVICE DEFEAT ORGANIZATION (JIEDDO) ,14440187.74
FY2016Q1,MARITIME ADMINISTRATION,119901052.17999998
FY2016Q1,MISSILE DEFENSE AGENCY (MDA),2579657619.3399997
FY2016Q1,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,19690377.87
FY2016Q1,NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY (NGA),4404000.0
FY2016Q1,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,0.0
FY2016Q1,"OFFICE OF POLICY, MANAGEMENT, AND BUDGET",65436615.87
FY2016Q1,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA),9625188.26
FY2016Q1,PUBLIC BUILDINGS SERVICE,1519227.1800000002
FY2016Q1,"STATE, DEPARTMENT OF",9126858.93
FY2016Q1,TRICARE MANAGEMENT ACTIVITY (TMA),11203546.500000002
FY2016Q1,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS),2336880.96
FY2016Q1,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,351000.0
FY2016Q1,U.S. FISH AND WILDLIFE SERVICE,-113910.07
FY2016Q1,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),335466535.4599999
FY2016Q1,USTRANSCOM,1696395868.64
FY2016Q1,"VETERANS AFFAIRS, DEPARTMENT OF",4657443.43
FY2016Q1,VIRGINIA CONTRACTING AGENCY,2582985.0
FY2016Q1,WASHINGTON HEADQUARTERS SERVICES (WHS),42747220.53999999
FY2016Q2,BUREAU OF OCEAN ENERGY MANAGEMENT,1688096.0999999999
FY2016Q2,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),293985441.0
FY2016Q2,DEFENSE COMMISSARY AGENCY  (DECA),89344945.64000002
FY2016Q2,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),101158508.48000014
FY2016Q2,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,8638375.77
FY2016Q2,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),73096177.46999998
FY2016Q2,DEFENSE HEALTH AGENCY (DHA),3925293830.01
FY2016Q2,DEFENSE HUMAN RESOURCES ACTIVITY,36878076.31
FY2016Q2,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),4026137810.59
FY2016Q2,DEFENSE LOGISTICS AGENCY,7035590763.87019
FY2016Q2,DEFENSE MEDIA ACTIVITY (DMA),14069674.110000003
FY2016Q2,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),129263895.31
FY2016Q2,DEFENSE SECURITY COOPERATION AGENCY,10027146.3
FY2016Q2,DEFENSE THREAT REDUCTION AGENCY (DTRA),861600547.2099998
FY2016Q2,DEPARTMENTAL OFFICES,239543693.76
FY2016Q2,DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),80453686.84999998
FY2016Q2,DEPT OF THE AIR FORCE,21940939181.430008
FY2016Q2,DEPT OF THE ARMY,51378900667.54946
FY2016Q2,DEPT OF THE NAVY,63007822634.94998
FY2016Q2,"ENERGY, DEPARTMENT OF",563286888.89
FY2016Q2,FEDERAL ACQUISITION SERVICE,991449637.2500012
FY2016Q2,FEDERAL PRISON SYSTEM,16439366.03
FY2016Q2,JOINT IMPROVISED EXPLOSIVE DEVICE DEFEAT ORGANIZATION (JIEDDO) ,33038216.630000003
FY2016Q2,MARITIME ADMINISTRATION,112012262.07000002
FY2016Q2,MISSILE DEFENSE AGENCY (MDA),2115044976.3300002
FY2016Q2,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,54186686.06
FY2016Q2,NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY (NGA),1376534.0
FY2016Q2,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,74115.0
FY2016Q2,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,366666.64
FY2016Q2,"OFFICE OF POLICY, MANAGEMENT, AND BUDGET",130926584.07
FY2016Q2,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA),47908829.78
FY2016Q2,PUBLIC BUILDINGS SERVICE,9545816.0
FY2016Q2,"STATE, DEPARTMENT OF",2919614.340000001
FY2016Q2,TRICARE MANAGEMENT ACTIVITY (TMA),14634112.879999999
FY2016Q2,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS),310727.53000000014
FY2016Q2,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),929320204.7000003
FY2016Q2,USTRANSCOM,387966481.6000001
FY2016Q2,"VETERANS AFFAIRS, DEPARTMENT OF",206774.19999999998
FY2016Q2,VIRGINIA CONTRACTING AGENCY,2075087.0
FY2016Q2,WASHINGTON HEADQUARTERS SERVICES (WHS),37255861.56
FY2016Q3,BUREAU OF OCEAN ENERGY MANAGEMENT,345242.93
FY2016Q3,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),226043262.57
FY2016Q3,DEFENSE COMMISSARY AGENCY  (DECA),118634658.16000009
FY2016Q3,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),46634893.38000006
FY2016Q3,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,43091729.98
FY2016Q3,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),36132440.480000004
FY2016Q3,DEFENSE HEALTH AGENCY (DHA),1789757893.2399998
FY2016Q3,DEFENSE HUMAN RESOURCES ACTIVITY,20397135.770000003
FY2016Q3,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),1437880023.3900008
FY2016Q3,DEFENSE LOGISTICS AGENCY,8740582660.429882
FY2016Q3,DEFENSE MEDIA ACTIVITY (DMA),19121967.04
FY2016Q3,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),150111531.64000002
FY2016Q3,DEFENSE SECURITY COOPERATION AGENCY,13022960.440000001
FY2016Q3,DEFENSE THREAT REDUCTION AGENCY (DTRA),176902206.10000002
FY2016Q3,DEPARTMENTAL OFFICES,91064663.36999997
FY2016Q3,DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),62247659.04000001
FY2016Q3,DEPT OF THE AIR FORCE,24120724666.90996
FY2016Q3,DEPT OF THE ARMY,26623206146.209984
FY2016Q3,DEPT OF THE NAVY,17179072110.420013
FY2016Q3,"ENERGY, DEPARTMENT OF",319575347.66
FY2016Q3,FEDERAL ACQUISITION SERVICE,1137187173.5499997
FY2016Q3,FEDERAL PRISON SYSTEM,14462.19
FY2016Q3,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,10089809.33
FY2016Q3,JOINT IMPROVISED EXPLOSIVE DEVICE DEFEAT ORGANIZATION (JIEDDO) ,12790905.75
FY2016Q3,MARITIME ADMINISTRATION,37673332.89
FY2016Q3,MISSILE DEFENSE AGENCY (MDA),1540691529.9900002
FY2016Q3,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,17768064.09
FY2016Q3,NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY (NGA),262613.0
FY2016Q3,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,0.0
FY2016Q3,NATIONAL INSTITUTES OF HEALTH,1228776.37
FY2016Q3,"OFFICE OF POLICY, MANAGEMENT, AND BUDGET",4337207.16
FY2016Q3,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA),541995124.32
FY2016Q3,PUBLIC BUILDINGS SERVICE,6346426.26
FY2016Q3,"STATE, DEPARTMENT OF",4040752.2599999993
FY2016Q3,TRICARE MANAGEMENT ACTIVITY (TMA),396604.81000000006
FY2016Q3,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS),25599093.030000005
FY2016Q3,U.S. COAST GUARD,2662.83
FY2016Q3,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),1123431542.8700001
FY2016Q3,USTRANSCOM,391998118.63
FY2016Q3,"VETERANS AFFAIRS, DEPARTMENT OF",2870832.92
FY2016Q3,VIRGINIA CONTRACTING AGENCY,8480322.0
FY2016Q3,WASHINGTON HEADQUARTERS SERVICES (WHS),102942402.34
FY2016Q4,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),253562060.95999998
FY2016Q4,DEFENSE COMMISSARY AGENCY  (DECA),98232656.72
FY2016Q4,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),-106164100.63000004
FY2016Q4,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,41727060.95
FY2016Q4,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),61936446.56999999
FY2016Q4,DEFENSE HEALTH AGENCY (DHA),2039344801.57
FY2016Q4,DEFENSE HUMAN RESOURCES ACTIVITY,32746869.54
FY2016Q4,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),1533556520.0200007
FY2016Q4,DEFENSE LOGISTICS AGENCY,7602969718.930037
FY2016Q4,DEFENSE MEDIA ACTIVITY (DMA),34924922.050000004
FY2016Q4,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),269278003.74
FY2016Q4,DEFENSE SECURITY COOPERATION AGENCY,14286660.02
FY2016Q4,DEFENSE THREAT REDUCTION AGENCY (DTRA),339477756.25
FY2016Q4,DEPARTMENTAL OFFICES,198897861.97999996
FY2016Q4,DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),112753512.84000003
FY2016Q4,DEPT OF THE AIR FORCE,15968796131.929989
FY2016Q4,DEPT OF THE ARMY,21906880206.81002
FY2016Q4,DEPT OF THE NAVY,23664462341.439995
FY2016Q4,"ENERGY, DEPARTMENT OF",403359730.36999995
FY2016Q4,FEDERAL ACQUISITION SERVICE,901821856.350002
FY2016Q4,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,1337988.58
FY2016Q4,JOINT IMPROVISED EXPLOSIVE DEVICE DEFEAT ORGANIZATION (JIEDDO) ,17475522.689999998
FY2016Q4,MARITIME ADMINISTRATION,36971694.22
FY2016Q4,MISSILE DEFENSE AGENCY (MDA),1136942246.28
FY2016Q4,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,41542461.22
FY2016Q4,NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY (NGA),113163.0
FY2016Q4,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,182273.46
FY2016Q4,NATIONAL INSTITUTES OF HEALTH,304341.09
FY2016Q4,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,183333.32
FY2016Q4,OFFICE OF PROCUREMENT OPERATIONS,0.0
FY2016Q4,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA),172499740.75
FY2016Q4,PUBLIC BUILDINGS SERVICE,12402898.939999998
FY2016Q4,"STATE, DEPARTMENT OF",8610855.97
FY2016Q4,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS),22976317.03
FY2016Q4,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,14639000.0
FY2016Q4,U.S. COAST GUARD,0.0
FY2016Q4,US GEOLOGICAL SURVEY,3505.45
FY2016Q4,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),831005741.0899999
FY2016Q4,USTRANSCOM,240699946.14
FY2016Q4,"VETERANS AFFAIRS, DEPARTMENT OF",587835.32
FY2016Q4,VIRGINIA CONTRACTING AGENCY,68492439.0
FY2016Q4,WASHINGTON HEADQUARTERS SERVICES (WHS),126524308.49999997
FY2017Q1,BUREAU OF OCEAN ENERGY MANAGEMENT,11453418.87
FY2017Q1,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),226222706.07
FY2017Q1,DEFENSE COMMISSARY AGENCY  (DECA),18867489.75000001
FY2017Q1,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),161481917.17
FY2017Q1,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,6334173.92
FY2017Q1,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),110929160.0
FY2017Q1,DEFENSE HEALTH AGENCY (DHA),5107965510.78
FY2017Q1,DEFENSE HUMAN RESOURCES ACTIVITY,9114566.639999999
FY2017Q1,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),1587480024.3100007
FY2017Q1,DEFENSE LOGISTICS AGENCY,8119576164.339998
FY2017Q1,DEFENSE MEDIA ACTIVITY (DMA),1261038.2400000002
FY2017Q1,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),85487199.33
FY2017Q1,DEFENSE SECURITY COOPERATION AGENCY,8981280.259999998
FY2017Q1,DEFENSE THREAT REDUCTION AGENCY (DTRA),403081678.99999994
FY2017Q1,DEPARTMENTAL OFFICES,92828737.62999997
FY2017Q1,DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),13823931.21
FY2017Q1,DEPT OF THE AIR FORCE,15218830331.32
FY2017Q1,DEPT OF THE ARMY,16770521478.780022
FY2017Q1,DEPT OF THE NAVY,29833406553.499973
FY2017Q1,"ENERGY, DEPARTMENT OF",176582368.63
FY2017Q1,FEDERAL ACQUISITION SERVICE,459736363.1700006
FY2017Q1,FEDERAL PRISON INDUSTRIES / UNICOR,3828384.57
FY2017Q1,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,77634.88
FY2017Q1,JOINT IMPROVISED EXPLOSIVE DEVICE DEFEAT ORGANIZATION (JIEDDO) ,40943497.99
FY2017Q1,MARITIME ADMINISTRATION,36703565.379999995
FY2017Q1,MISSILE DEFENSE AGENCY (MDA),1771680572.4300003
FY2017Q1,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,19428236.27
FY2017Q1,NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY (NGA),6270.0
FY2017Q1,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,43241.58
FY2017Q1,NATIONAL INSTITUTES OF HEALTH,9421624.94
FY2017Q1,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA),37182976.57
FY2017Q1,PUBLIC BUILDINGS SERVICE,574291.41
FY2017Q1,"STATE, DEPARTMENT OF",1929366.8599999999
FY2017Q1,TRICARE MANAGEMENT ACTIVITY (TMA),2712751.92
FY2017Q1,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS),1101542.82
FY2017Q1,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),463291448.24
FY2017Q1,USTRANSCOM,920325532.0899997
FY2017Q1,"VETERANS AFFAIRS, DEPARTMENT OF",2293798.0
FY2017Q1,VIRGINIA CONTRACTING AGENCY,767032.0
FY2017Q1,WASHINGTON HEADQUARTERS SERVICES (WHS),91745441.17999999
FY2017Q2,BUREAU OF OCEAN ENERGY MANAGEMENT,528532.4299999999
FY2017Q2,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),199484269.33
FY2017Q2,DEFENSE COMMISSARY AGENCY  (DECA),63193713.93000003
FY2017Q2,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),384264494.63999987
FY2017Q2,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,9333621.5
FY2017Q2,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),19778925.16
FY2017Q2,DEFENSE HEALTH AGENCY (DHA),1885512831.9099998
FY2017Q2,DEFENSE HUMAN RESOURCES ACTIVITY,9250245.57
FY2017Q2,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),1080721482.0200005
FY2017Q2,DEFENSE LOGISTICS AGENCY,5685957989.710017
FY2017Q2,DEFENSE MEDIA ACTIVITY (DMA),38867669.41
FY2017Q2,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),128393243.4
FY2017Q2,DEFENSE SECURITY COOPERATION AGENCY,3396819.28
FY2017Q2,DEFENSE THREAT REDUCTION AGENCY (DTRA),179225063.07000002
FY2017Q2,DEPARTMENTAL OFFICES,139136128.35
FY2017Q2,DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),63176826.03
FY2017Q2,DEPT OF THE AIR FORCE,21226374758.170002
FY2017Q2,DEPT OF THE ARMY,20916819652.880024
FY2017Q2,DEPT OF THE NAVY,24822295742.19996
FY2017Q2,"ENERGY, DEPARTMENT OF",416036600.61
FY2017Q2,FEDERAL ACQUISITION SERVICE,1240070042.5500011
FY2017Q2,FEDERAL PRISON INDUSTRIES / UNICOR,84942.13
FY2017Q2,MARITIME ADMINISTRATION,44992072.14
FY2017Q2,MISSILE DEFENSE AGENCY (MDA),1015613615.74
FY2017Q2,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,68490446.14000002
FY2017Q2,NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY (NGA),541252.0
FY2017Q2,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,0.0
FY2017Q2,NATIONAL INSTITUTES OF HEALTH,0.0
FY2017Q2,OFFICE OF PROCUREMENT OPERATIONS,0.0
FY2017Q2,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA),87476389.59999998
FY2017Q2,PUBLIC BUILDINGS SERVICE,1491021.21
FY2017Q2,"STATE, DEPARTMENT OF",2483289.97
FY2017Q2,TRICARE MANAGEMENT ACTIVITY (TMA),174022641.90999997
FY2017Q2,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS),3880353.6
FY2017Q2,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),643161553.83
FY2017Q2,USTRANSCOM,419059096.8099999
FY2017Q2,VIRGINIA CONTRACTING AGENCY,40474.0
FY2017Q2,WASHINGTON HEADQUARTERS SERVICES (WHS),94754528.29000002
FY2017Q3,BUREAU OF OCEAN ENERGY MANAGEMENT,138349.38
FY2017Q3,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),128732054.73000002
FY2017Q3,DEFENSE COMMISSARY AGENCY  (DECA),96397137.80000003
FY2017Q3,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),130957627.82999998
FY2017Q3,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,16516831.1
FY2017Q3,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),35012540.53
FY2017Q3,DEFENSE HEALTH AGENCY (DHA),12206340320.129995
FY2017Q3,DEFENSE HUMAN RESOURCES ACTIVITY,54080389.86
FY2017Q3,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),928781761.4900029
FY2017Q3,DEFENSE LOGISTICS AGENCY,4695303385.159909
FY2017Q3,DEFENSE MEDIA ACTIVITY (DMA),30111266.72
FY2017Q3,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),181841484.64999998
FY2017Q3,DEFENSE SECURITY COOPERATION AGENCY,4631361.109999999
FY2017Q3,DEFENSE THREAT REDUCTION AGENCY (DTRA),164474913.10999998
FY2017Q3,DEPARTMENTAL OFFICES,116338931.44999999
FY2017Q3,DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),53225649.97999998
FY2017Q3,DEPT OF THE AIR FORCE,15585298263.890017
FY2017Q3,DEPT OF THE ARMY,15802582586.569994
FY2017Q3,DEPT OF THE NAVY,26066028793.67003
FY2017Q3,"ENERGY, DEPARTMENT OF",204381626.14
FY2017Q3,FEDERAL ACQUISITION SERVICE,766438430.9699979
FY2017Q3,FEDERAL PRISON INDUSTRIES / UNICOR,408147.4
FY2017Q3,MARITIME ADMINISTRATION,26210158.790000007
FY2017Q3,MISSILE DEFENSE AGENCY (MDA),1207658200.5800002
FY2017Q3,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,24657937.04
FY2017Q3,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,619.3400000000001
FY2017Q3,NATIONAL INSTITUTES OF HEALTH,4370994.4
FY2017Q3,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,0.0
FY2017Q3,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA),115992830.62
FY2017Q3,PUBLIC BUILDINGS SERVICE,4869364.75
FY2017Q3,"STATE, DEPARTMENT OF",1864214.9200000006
FY2017Q3,TRICARE MANAGEMENT ACTIVITY (TMA),5349753420.5
FY2017Q3,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS),6421529.509999999
FY2017Q3,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),545852098.4699998
FY2017Q3,USTRANSCOM,560312712.54
FY2017Q3,"VETERANS AFFAIRS, DEPARTMENT OF",313125.0
FY2017Q3,WASHINGTON HEADQUARTERS SERVICES (WHS),167200805.4
FY2017Q4,BUREAU OF OCEAN ENERGY MANAGEMENT,97861.56
FY2017Q4,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),224745766.77
FY2017Q4,DEFENSE COMMISSARY AGENCY  (DECA),72503558.39999999
FY2017Q4,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),51856726.99999996
FY2017Q4,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,38001335.269999996
FY2017Q4,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),100649075.89
FY2017Q4,DEFENSE HEALTH AGENCY (DHA),1345127541.66
FY2017Q4,DEFENSE HUMAN RESOURCES ACTIVITY,46049665.739999995
FY2017Q4,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2480435842.410001
FY2017Q4,DEFENSE LOGISTICS AGENCY,5797355493.480011
FY2017Q4,DEFENSE MEDIA ACTIVITY (DMA),49576543.58
FY2017Q4,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),366813769.40999997
FY2017Q4,DEFENSE SECURITY COOPERATION AGENCY,14382926.52
FY2017Q4,DEFENSE THREAT REDUCTION AGENCY (DTRA),169046273.89
FY2017Q4,DEPARTMENTAL OFFICES,172912745.5
FY2017Q4,DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),76548287.73000002
FY2017Q4,DEPT OF THE AIR FORCE,13757273828.839993
FY2017Q4,DEPT OF THE ARMY,37149921200.05994
FY2017Q4,DEPT OF THE NAVY,31160512037.150017
FY2017Q4,"ENERGY, DEPARTMENT OF",188113150.69
FY2017Q4,FEDERAL ACQUISITION SERVICE,1187555726.9400005
FY2017Q4,FEDERAL PRISON INDUSTRIES / UNICOR,106362.08
FY2017Q4,MARITIME ADMINISTRATION,100087567.42000002
FY2017Q4,MISSILE DEFENSE AGENCY (MDA),786336169.5199999
FY2017Q4,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,14737741.280000001
FY2017Q4,NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY (NGA),94083.0
FY2017Q4,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,54279.26
FY2017Q4,NATIONAL INSTITUTES OF HEALTH,5030673.879999999
FY2017Q4,OFFICE OF PROCUREMENT OPERATIONS,13392.0
FY2017Q4,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA),248097159.88999996
FY2017Q4,PUBLIC BUILDINGS SERVICE,11070245.3
FY2017Q4,"STATE, DEPARTMENT OF",2139336.88
FY2017Q4,TRICARE MANAGEMENT ACTIVITY (TMA),10158.0
FY2017Q4,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS),12742490.83
FY2017Q4,U.S. CYBER COMMAND,0.0
FY2017Q4,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),1360929738.4699998
FY2017Q4,USTRANSCOM,426066439.12
FY2017Q4,"VETERANS AFFAIRS, DEPARTMENT OF",78233.82
FY2017Q4,VIRGINIA CONTRACTING AGENCY,1399804.0
FY2017Q4,WASHINGTON HEADQUARTERS SERVICES (WHS),136139791.13
FY2018Q1,BUREAU OF OCEAN ENERGY MANAGEMENT,5486594.61
FY2018Q1,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),75364482.25
FY2018Q1,DEFENSE COMMISSARY AGENCY  (DECA),73495430.1400001
FY2018Q1,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),-10532170.380000003
FY2018Q1,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),57504271.519999996
FY2018Q1,DEFENSE HEALTH AGENCY (DHA),192838912.85
FY2018Q1,DEFENSE HUMAN RESOURCES ACTIVITY,4342370.71
FY2018Q1,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),711517575.5600001
FY2018Q1,DEFENSE LOGISTICS AGENCY,7263014787.590119
FY2018Q1,DEFENSE MEDIA ACTIVITY (DMA),6649009.38
FY2018Q1,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),25004849.0
FY2018Q1,DEFENSE SECURITY COOPERATION AGENCY,1944641.94
FY2018Q1,DEFENSE THREAT REDUCTION AGENCY (DTRA),120954009.97999999
FY2018Q1,DEPARTMENTAL OFFICES,300492980.49
FY2018Q1,DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),4544552.31
FY2018Q1,DEPT OF THE AIR FORCE,20168058436.53998
FY2018Q1,DEPT OF THE ARMY,14988548448.249992
FY2018Q1,DEPT OF THE NAVY,10077303792.250013
FY2018Q1,"ENERGY, DEPARTMENT OF",-457906242.97
FY2018Q1,FEDERAL ACQUISITION SERVICE,788738763.4000003
FY2018Q1,MARITIME ADMINISTRATION,14420510.82
FY2018Q1,MISSILE DEFENSE AGENCY (MDA),153306224.69
FY2018Q1,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,4700503.17
FY2018Q1,NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY (NGA),188107.0
FY2018Q1,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,105925.0
FY2018Q1,OFFICE OF PROCUREMENT OPERATIONS,76689.21
